<DTYYYYMMDD>,<VALUE>
1400/6/29,1427773.21
1400/6/28,1420479
1400/6/27,1450225.39
1400/6/24,1488212.73
1400/6/23,1496962.68
1400/6/22,1475224.93
1400/6/21,1489983.34
1400/6/20,1530461.77
1400/6/17,1526008.32
1400/6/16,1523059.92
1400/6/15,1538484.49
1400/6/14,1537192.91
1400/6/13,1541051.75
1400/6/10,1520627.06
1400/6/9,1496150.82
1400/6/8,1523969.59
1400/6/7,1573406.5
1400/6/6,1575761.97
1400/6/3,1550208.38
1400/6/2,1543448.26
1400/6/1,1515923.54
1400/5/31,1515548.58
1400/5/24,1499923.42
1400/5/23,1480803.6
1400/5/20,1484627.28
1400/5/19,1453811.67
1400/5/18,1433201.72
1400/5/17,1417861.94
1400/5/16,1407762.24
1400/5/13,1406040.27
1400/5/12,1375647.18
1400/5/11,1357895.2
1400/5/10,1360246.56
1400/5/9,1351500.09
1400/5/6,1316504.55
1400/5/5,1314909.08
1400/5/4,1323354.64
1400/4/28,1311306.02
1400/4/27,1302857.22
1400/4/26,1311241.03
1400/4/23,1305495.49
1400/4/22,1303890.14
1400/4/21,1304336.3
1400/4/20,1285256.4
1400/4/19,1270744.26
1400/4/16,1282036.1
1400/4/15,1281187.01
1400/4/14,1254561.75
1400/4/13,1243719.06
1400/4/12,1246111.87
1400/4/9,1256978.21
1400/4/8,1248516.5
1400/4/7,1243812.28
1400/4/6,1238487.22
1400/4/5,1233738.14
1400/4/2,1213054.57
1400/4/1,1186921.47
1400/3/31,1168664.67
1400/3/30,1163756.96
1400/3/29,1162031.98
1400/3/26,1147675.01
1400/3/25,1150129.24
1400/3/24,1150203.56
1400/3/23,1141225.85
1400/3/22,1144954.99
1400/3/19,1151846.26
1400/3/18,1160665.56
1400/3/17,1157205.37
1400/3/12,1148642.74
1400/3/11,1140475.38
1400/3/10,1145930.02
1400/3/9,1156933.83
1400/3/8,1139534.85
1400/3/5,1109348.76
1400/3/4,1105454.24
1400/3/3,1095697.68
1400/3/2,1107915.12
1400/3/1,1128218.17
1400/2/29,1154844.68
1400/2/28,1173514.27
1400/2/27,1174659.67
1400/2/26,1188811.12
1400/2/25,1189595.65
1400/2/22,1184000.26
1400/2/21,1179527.11
1400/2/20,1157682.93
1400/2/19,1151896.41
1400/2/18,1167462.4
1400/2/15,1172262.44
1400/2/13,1167045.07
1400/2/12,1180663.55
1400/2/11,1194338.64
1400/2/8,1207850.35
1400/2/7,1202630.39
1400/2/6,1186956.46
1400/2/5,1187842.99
1400/2/4,1199341.74
1400/2/1,1207046.95
1400/1/31,1219589.91
1400/1/30,1216874.27
1400/1/29,1224795.26
1400/1/28,1233781.81
1400/1/25,1243358.69
1400/1/24,1244556.65
1400/1/23,1226158.23
1400/1/22,1230876.49
1400/1/21,1240696.71
1400/1/18,1249910.38
1400/1/17,1260785.7
1400/1/16,1262735.3
1400/1/15,1269478.7
1400/1/14,1282948.74
1400/1/11,1294521.64
1400/1/10,1303193.71
1400/1/8,1306887.75
1400/1/7,1309561.63
1399/12/27,1307707.13
1399/12/26,1290474.49
1399/12/25,1254212.96
1399/12/24,1245186.04
1399/12/23,1229377.18
1399/12/20,1206878.02
1399/12/19,1210146.66
1399/12/18,1199888.4
1399/12/17,1175595.79
1399/12/16,1169724.27
1399/12/13,1177916.88
1399/12/12,1186277.26
1399/12/11,1181641.2
1399/12/10,1185603.68
1399/12/9,1194009.89
1399/12/6,1205832.36
1399/12/5,1211642.84
1399/12/4,1214482.68
1399/12/3,1222614.25
1399/12/2,1232716.1
1399/11/29,1238357.42
1399/11/28,1245882.88
1399/11/27,1257286.19
1399/11/26,1264368.7
1399/11/25,1262253.69
1399/11/21,1214416.14
1399/11/20,1192744.36
1399/11/19,1170532.85
1399/11/18,1135345.48
1399/11/15,1173010.67
1399/11/14,1205467.1
1399/11/13,1233667.59
1399/11/12,1251041.71
1399/11/11,1247152.7
1399/11/8,1207698.27
1399/11/7,1215033.14
1399/11/6,1235783.1
1399/11/5,1234557.5
1399/11/4,1222070.55
1399/11/1,1183978.2
1399/10/30,1150717.98
1399/10/29,1150224.95
1399/10/27,1186711.21
1399/10/24,1229836.48
1399/10/23,1260722.51
1399/10/22,1301325.56
1399/10/21,1306620.74
1399/10/20,1285892.41
1399/10/17,1310755.83
1399/10/16,1350233.2
1399/10/15,1374483.23
1399/10/14,1355351.22
1399/10/13,1354147.12
1399/10/10,1397797.19
1399/10/9,1411858.96
1399/10/8,1437212.28
1399/10/7,1419012.79
1399/10/6,1423570.24
1399/10/3,1447915.33
1399/10/2,1444968.94
1399/10/1,1436392.9
1399/9/30,1439124.01
1399/9/29,1444926.01
1399/9/26,1413360.39
1399/9/25,1428324.49
1399/9/24,1484158.86
1399/9/23,1515759.37
1399/9/22,1527451.83
1399/9/19,1506217.27
1399/9/18,1507498.69
1399/9/17,1512891.88
1399/9/16,1523108.49
1399/9/15,1490676.82
1399/9/12,1470980.09
1399/9/11,1473667.25
1399/9/10,1465975.32
1399/9/9,1427278.12
1399/9/8,1390772.78
1399/9/5,1367248.83
1399/9/4,1357108.63
1399/9/3,1375541.27
1399/9/2,1358847.53
1399/9/1,1366535.22
1399/8/28,1345301.35
1399/8/27,1296947.08
1399/8/26,1273847
1399/8/25,1257356.86
1399/8/24,1247649.18
1399/8/21,1221074.76
1399/8/20,1211941.16
1399/8/19,1215163.85
1399/8/18,1240523.77
1399/8/17,1262887.13
1399/8/14,1290571.39
1399/8/12,1264477.63
1399/8/11,1279862.72
1399/8/10,1305898.74
1399/8/7,1288330.51
1399/8/6,1302028.52
1399/8/5,1336587.04
1399/8/3,1374057.4
1399/7/30,1412354.66
1399/7/29,1419305.29
