<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.China.Clay,20100726,5086.00,5086.00,5086.00,5086.00,239042000,47000,16,D,4891.00,5086.00
Iran.China.Clay,20100725,4891.00,4891.00,4891.00,4891.00,136948000,28000,1,D,4703.00,4891.00
Iran.China.Clay,20100720,4703.00,4703.00,4703.00,4703.00,131684000,28000,1,D,4523.00,4703.00
Iran.China.Clay,20100719,4670.00,4670.00,4670.00,4523.00,23350000,5000,1,D,4491.00,4670.00
Iran.China.Clay,20100717,4624.00,4624.00,4624.00,4491.00,32368000,7000,3,D,4447.00,4624.00
Iran.China.Clay,20100713,4613.00,4613.00,4613.00,4447.00,7712936,1672,1,D,4436.00,4613.00
Iran.China.Clay,20100627,4566.00,4566.00,4566.00,4436.00,20090400,4400,1,D,4412.00,4566.00
Iran.China.Clay,20100623,4543.00,4543.00,4543.00,4412.00,17899420,3940,3,D,4390.00,4543.00
Iran.China.Clay,20100622,4536.00,4536.00,4536.00,4390.00,5443200,1200,2,D,4383.00,4536.00
Iran.China.Clay,20100621,4512.00,4512.00,4512.00,4383.00,18950400,4200,3,D,4360.00,4512.00
Iran.China.Clay,20100619,4482.00,4482.00,4482.00,4360.00,23754600,5300,3,D,4331.00,4482.00
Iran.China.Clay,20100616,4443.00,4443.00,4443.00,4331.00,31314264,7048,2,D,4293.00,4443.00
Iran.China.Clay,20100615,4386.00,4386.00,4386.00,4293.00,46053000,10500,1,D,4238.00,4386.00
Iran.China.Clay,20100601,4371.00,4371.00,4371.00,4238.00,11976540,2740,1,D,4224.00,4371.00
Iran.China.Clay,20100531,4308.00,4308.00,4308.00,4224.00,50403600,11700,4,D,4163.00,4308.00
Iran.China.Clay,20100530,4255.00,4255.00,4255.00,4163.00,42550000,10000,2,D,4112.00,4255.00
Iran.China.Clay,20100529,4203.00,4203.00,4203.00,4112.00,42030000,10000,3,D,4061.00,4203.00
Iran.China.Clay,20100526,4203.00,4203.00,4203.00,4061.00,210150,50,1,D,4061.00,4203.00
Iran.China.Clay,20100525,4191.00,4191.00,4191.00,4061.00,8884920,2120,1,D,4050.00,4191.00
Iran.China.Clay,20100523,4050.00,4050.00,4050.00,4050.00,202500,50,1,D,5498.00,4050.00
Iran.China.Clay,20100511,5794.00,5794.00,5430.00,5498.00,1761316296,320355,17,D,5626.00,5430.00
Iran.China.Clay,20100510,5501.00,5501.00,5501.00,5626.00,11106519,2019,1,D,5636.00,5501.00
Iran.China.Clay,20100509,5660.00,5660.00,5660.00,5636.00,14150000,2500,1,D,5634.00,5660.00
