<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
ToseAtlasMofid.ETF,20180612,14130.00,14220.00,14130.00,14141.00,82907910,5863,3,D,14102.00,14220.00
ToseAtlasMofid.ETF,20180610,14104.00,14104.00,14100.00,14102.00,14102000,1000,3,D,14051.00,14100.00
ToseAtlasMofid.ETF,20180609,14051.00,14051.00,14050.00,14051.00,11057850,787,3,D,14040.00,14050.00
ToseAtlasMofid.ETF,20180603,14041.00,14041.00,14040.00,14040.00,90629700,6455,3,D,14007.00,14040.00
ToseAtlasMofid.ETF,20180602,14000.00,14285.00,14000.00,14007.00,58716500,4192,3,D,13910.00,14285.00
ToseAtlasMofid.ETF,20180530,13910.00,13911.00,13910.00,13910.00,17179350,1235,5,D,13901.00,13910.00
ToseAtlasMofid.ETF,20180529,13902.00,13902.00,13901.00,13901.00,19461758,1400,4,D,13950.00,13901.00
ToseAtlasMofid.ETF,20180528,13950.00,13950.00,13950.00,13950.00,2790000,200,1,D,14113.00,13950.00
ToseAtlasMofid.ETF,20180527,14090.00,14145.00,14050.00,14113.00,27477350,1947,5,D,13945.00,14050.00
ToseAtlasMofid.ETF,20180526,13857.00,13990.00,13857.00,13945.00,19314255,1385,4,D,13720.00,13990.00
ToseAtlasMofid.ETF,20180523,13720.00,13720.00,13720.00,13720.00,10976000,800,1,D,13721.00,13720.00
ToseAtlasMofid.ETF,20180522,13721.00,13721.00,13721.00,13721.00,1097680,80,1,D,13716.00,13721.00
ToseAtlasMofid.ETF,20180521,13710.00,13741.00,13710.00,13716.00,68993230,5030,3,D,13681.00,13741.00
ToseAtlasMofid.ETF,20180520,13670.00,13870.00,13670.00,13681.00,22094059,1615,5,D,13501.00,13870.00
ToseAtlasMofid.ETF,20180516,13502.00,13502.00,13501.00,13501.00,8100700,600,2,D,13701.00,13501.00
ToseAtlasMofid.ETF,20180515,13700.00,13750.00,13700.00,13701.00,31513200,2300,3,D,13472.00,13700.00
ToseAtlasMofid.ETF,20180514,13472.00,13472.00,13471.00,13472.00,1347177,100,2,D,13370.00,13471.00
ToseAtlasMofid.ETF,20180513,13371.00,13371.00,13370.00,13370.00,29722310,2223,3,D,13350.00,13370.00
ToseAtlasMofid.ETF,20180512,13350.00,13350.00,13350.00,13350.00,42052500,3150,3,D,13287.00,13350.00
ToseAtlasMofid.ETF,20180509,13400.00,13400.00,13200.00,13287.00,299522400,22542,5,D,13600.00,13300.00
ToseAtlasMofid.ETF,20180508,13600.00,13600.00,13600.00,13600.00,54400000,4000,1,D,13350.00,13600.00
ToseAtlasMofid.ETF,20180507,13350.00,13350.00,13350.00,13350.00,2002500,150,1,D,13317.00,13350.00
ToseAtlasMofid.ETF,20180506,13350.00,13350.00,13250.00,13317.00,199750000,15000,2,D,13400.00,13250.00
ToseAtlasMofid.ETF,20180505,13400.00,13400.00,13400.00,13400.00,33500000,2500,1,D,13415.00,13400.00
ToseAtlasMofid.ETF,20180501,13550.00,13600.00,13150.00,13415.00,363482400,27096,5,D,13860.00,13550.00
ToseAtlasMofid.ETF,20180429,13867.00,13867.00,13600.00,13860.00,53083910,3830,2,D,13700.00,13600.00
ToseAtlasMofid.ETF,20180428,13700.00,13700.00,13700.00,13700.00,24386000,1780,1,D,13753.00,13700.00
ToseAtlasMofid.ETF,20180423,13753.00,13753.00,13753.00,13753.00,10314750,750,2,D,13882.00,13753.00
ToseAtlasMofid.ETF,20180422,13850.00,13900.00,13850.00,13882.00,1832450,132,2,D,14090.00,13900.00
ToseAtlasMofid.ETF,20180421,14090.00,14090.00,14090.00,14090.00,1197650,85,1,D,13969.00,14090.00
ToseAtlasMofid.ETF,20180417,14151.00,14151.00,13950.00,13969.00,118707200,8498,3,D,14000.00,13950.00
ToseAtlasMofid.ETF,20180416,14000.00,14000.00,14000.00,14000.00,98000000,7000,1,D,14051.00,14000.00
ToseAtlasMofid.ETF,20180415,14250.00,14250.00,14050.00,14051.00,141540250,10073,2,D,14150.00,14050.00
ToseAtlasMofid.ETF,20180411,14150.00,14150.00,14150.00,14150.00,141500000,10000,2,D,14207.00,14150.00
ToseAtlasMofid.ETF,20180410,14210.00,14210.00,14200.00,14207.00,30402000,2140,3,D,14423.00,14200.00
ToseAtlasMofid.ETF,20180408,14150.00,14550.00,14050.00,14423.00,74710350,5180,14,D,14568.00,14050.00
ToseAtlasMofid.ETF,20180403,14700.00,14700.00,14300.00,14568.00,4414100,303,2,D,14315.00,14300.00
ToseAtlasMofid.ETF,20180328,14315.00,14315.00,14315.00,14315.00,57260000,4000,2,D,14265.00,14315.00
ToseAtlasMofid.ETF,20180327,14265.00,14265.00,14265.00,14265.00,5092605,357,1,D,14243.00,14265.00
ToseAtlasMofid.ETF,20180326,14257.00,14257.00,14219.00,14243.00,172635019,12121,2,D,14230.00,14219.00
ToseAtlasMofid.ETF,20180325,14230.00,14230.00,14230.00,14230.00,2063350,145,1,D,14300.00,14230.00
ToseAtlasMofid.ETF,20180317,14300.00,14300.00,14300.00,14300.00,2288000,160,1,D,14184.00,14300.00
ToseAtlasMofid.ETF,20180313,14200.00,14200.00,14150.00,14184.00,124588600,8784,3,D,14151.00,14150.00
ToseAtlasMofid.ETF,20180312,14200.00,14200.00,14150.00,14151.00,161192650,11391,6,D,14475.00,14150.00
ToseAtlasMofid.ETF,20180310,14200.00,14500.00,14200.00,14475.00,121923390,8423,3,D,14185.00,14500.00
ToseAtlasMofid.ETF,20180307,14151.00,14200.00,14151.00,14185.00,4652700,328,4,D,14250.00,14200.00
ToseAtlasMofid.ETF,20180305,14250.00,14250.00,14250.00,14250.00,72176250,5065,2,D,14316.00,14250.00
ToseAtlasMofid.ETF,20180303,14350.00,14350.00,14250.00,14316.00,105910900,7398,4,D,14725.00,14250.00
ToseAtlasMofid.ETF,20180228,14725.00,14725.00,14725.00,14725.00,8835000,600,1,D,14894.00,14725.00
ToseAtlasMofid.ETF,20180227,14850.00,14900.00,14850.00,14894.00,425645480,28579,11,D,14898.00,14900.00
ToseAtlasMofid.ETF,20180226,14896.00,14900.00,14896.00,14898.00,39478400,2650,4,D,14857.00,14897.00
ToseAtlasMofid.ETF,20180225,14850.00,14900.00,14850.00,14857.00,40752250,2743,3,D,14850.00,14900.00
